pub_nbr,app_year,sim_occ
95843,1983,721
98047,1983,818
98047,1983,818
98053,1983,212
98053,1983,212
97002,1983,818
99663,1983,818
98137,1983,818
98138,1983,812
99261,1983,961
99720,1983,818
99720,1983,818
88656,1983,813
93662,1983,263
99796,1983,818
86168,1983,622
98249,1983,818
98249,1983,818
94366,1983,818
94366,1983,818
97635,1983,818
92540,1983,742
93162,1982,813
175836,1985,818
175836,1985,812
199233,1986,711
144262,1984,818
113434,1983,818
113434,1983,818
113434,1983,818
149467,1985,814
101055,1983,818
101055,1983,818
113120,1983,812
113120,1983,711
149687,1983,818
149687,1983,818
125662,1984,818
125662,1984,818
128395,1984,311
128395,1984,812
130445,1984,263
130445,1984,812
130486,1984,818
130486,1984,812
135008,1984,821
135690,1984,251
135690,1984,711
137925,1984,818
137925,1984,818
138084,1984,812
138084,1984,812
136712,1984,812
136712,1984,812
173343,1985,311
173344,1985,331
175369,1985,818
175369,1985,334
180781,1985,812
180781,1985,812
179403,1985,311
180222,1985,713
180222,1985,713
181609,1985,622
181609,1985,622
137666,1984,711
105937,1982,817
105937,1982,817
103054,1982,818
105275,1982,812
104178,1982,812
118579,1983,311
118579,1983,311
103084,1983,812
104343,1983,814
111049,1983,818
103168,1983,818
104388,1983,813
102035,1983,812
106998,1983,812
106998,1983,812
110029,1983,812
106146,1983,816
105398,1983,814
107057,1983,812
107057,1983,818
105463,1983,813
109529,1983,732
108317,1983,818
112459,1983,813
110141,1983,818
109043,1983,432
111749,1983,812
111750,1983,212
112480,1983,311
114240,1983,818
111247,1983,812
111247,1983,812
111330,1983,818
111330,1983,818
111899,1983,812
111899,1983,812
113098,1983,818
113098,1983,818
115645,1983,215
115645,1983,251
100131,1983,731
102657,1983,818
104708,1983,812
104708,1983,812
109716,1983,812
109716,1983,812
110471,1983,818
123743,1983,814
123743,1983,818
101190,1983,812
102204,1983,812
101273,1983,314
104034,1983,818
107357,1983,812
105709,1983,814
105709,1983,818
108492,1983,813
107408,1983,816
107412,1983,812
107412,1983,812
110527,1983,816
106687,1983,818
106688,1983,818
117335,1983,813
106698,1983,812
134364,1983,742
139795,1983,215
139795,1983,215
112028,1983,818
112028,1983,818
112029,1983,215
112029,1983,215
111394,1983,818
109808,1983,742
109808,1983,821
109288,1983,812
112646,1983,818
111402,1983,812
111402,1983,215
113959,1983,812
113959,1983,812
112111,1983,818
112111,1983,212
112132,1983,818
112132,1983,812
114494,1983,818
114005,1983,812
121636,1983,818
112792,1983,817
112792,1983,817
110807,1983,818
110807,1983,818
112272,1983,711
110836,1983,311
134382,1983,814
134382,1983,814
113325,1983,818
105318,1983,818
104248,1983,812
108111,1983,251
111503,1983,812
109425,1983,818
118453,1983,818
116651,1983,311
116651,1983,311
116608,1983,812
116652,1983,212
116652,1983,212
157764,1983,818
121546,1983,215
122274,1983,818
132279,1983,812
129562,1983,211
114635,1984,818
126206,1984,816
126206,1984,816
118703,1984,314
118703,1984,812
150242,1984,711
118720,1982,814
118028,1982,611
118028,1982,818
115859,1984,818
115859,1984,817
118788,1984,812
118797,1984,311
121095,1984,212
121800,1984,818
123091,1984,713
121869,1984,812
126248,1984,752
126248,1984,814
122539,1984,813
124769,1984,818
126407,1984,818
128490,1984,816
129206,1984,813
129206,1984,813
130502,1984,812
131833,1984,818
131833,1984,814
132801,1984,812
139884,1984,813
139884,1984,813
139114,1984,816
139114,1984,816
133306,1984,815
169918,1984,711
134546,1984,816
134546,1984,816
133698,1984,818
141098,1984,818
141098,1984,215
135799,1984,818
141114,1984,812
137291,1984,311
137291,1984,311
140149,1984,818
140149,1984,251
175802,1984,818
137512,1984,215
137512,1984,215
141372,1984,818
141372,1984,818
142114,1984,215
144055,1984,812
144055,1984,818
146075,1984,813
146075,1984,813
152605,1980,215
156997,1984,813
130650,1984,251
135208,1984,816
139334,1984,731
143490,1984,817
143490,1984,817
143490,1984,817
121292,1984,814
121292,1984,215
117061,1984,215
151843,1984,812
117739,1984,818
117739,1984,818
119046,1984,818
119046,1984,818
124975,1984,721
120654,1984,818
120654,1984,812
123480,1984,818
123480,1984,818
122778,1984,818
122778,1984,818
123498,1984,311
127317,1984,215
126571,1984,821
125853,1984,311
125853,1984,818
132924,1984,812
128724,1984,311
128724,1984,812
128724,1984,812
132308,1984,813
132308,1984,812
132308,1984,812
134647,1984,817
130847,1984,815
130847,1984,732
134669,1984,215
134669,1984,215
135294,1984,721
135313,1984,813
170737,1984,818
140500,1984,818
136034,1984,215
136044,1984,311
139409,1984,812
138340,1984,818
138340,1984,818
142230,1984,212
139434,1984,311
139434,1984,311
140566,1984,818
139487,1984,215
141537,1984,818
139505,1984,812
138574,1984,818
138574,1984,818
181973,1984,814
181973,1984,814
145403,1984,818
147198,1984,812
147198,1984,812
119908,1984,818
125983,1984,813
125983,1984,813
144264,1984,742
148668,1984,816
148695,1984,812
143061,1984,814
147345,1984,818
116005,1984,812
128106,1984,816
116521,1984,211
167694,1984,818
163801,1984,818
114800,1984,818
130159,1984,813
166067,1984,231
166067,1984,231
171488,1984,818
114159,1984,817
114161,1984,812
114162,1984,251
131586,1983,812
137043,1984,812
137043,1984,812
159992,1983,818
134232,1984,812
138872,1984,335
138873,1984,818
142506,1984,817
154646,1984,817
157811,1984,818
149497,1985,818
149497,1985,818
192793,1985,611
154334,1985,818
155666,1985,818
155666,1985,818
158180,1985,812
158181,1985,812
156366,1985,818
156366,1985,721
163956,1985,818
166226,1985,812
166226,1985,812
163295,1985,813
163295,1985,252
164066,1985,818
164090,1985,215
165570,1985,812
165570,1985,812
165596,1985,721
172484,1985,333
177725,1985,812
176781,1985,215
176781,1985,215
174030,1985,311
174030,1985,311
176048,1985,818
176048,1985,331
177864,1985,818
177864,1985,812
178673,1985,812
178673,1985,812
180877,1985,711
181574,1981,713
180979,1985,818
186766,1985,961
185941,1985,814
185941,1985,814
185314,1985,812
185314,1985,812
185327,1985,816
185327,1985,816
186125,1985,314
186125,1985,314
150884,1985,818
161711,1985,711
161713,1985,811
161713,1985,811
187422,1985,817
152197,1985,812
152197,1985,812
153041,1985,812
153043,1985,311
151045,1985,818
154451,1985,311
155106,1985,818
155106,1985,818
193666,1985,812
154555,1985,812
160365,1985,812
160365,1985,812
160366,1985,818
159805,1985,818
159805,1985,812
195148,1985,818
195148,1985,818
162545,1985,813
195152,1985,334
195152,1985,812
159152,1985,818
159175,1985,813
159902,1985,818
162579,1985,812
162579,1985,812
166508,1985,817
166508,1985,812
161088,1985,732
161088,1985,816
167231,1985,812
168132,1985,311
163546,1985,812
163546,1985,812
167323,1985,215
179547,1985,215
179547,1985,812
169068,1985,813
173460,1985,812
171274,1985,311
171274,1985,251
178757,1985,818
175479,1985,818
177172,1985,818
179556,1985,818
179556,1985,818
174205,1985,311
175567,1985,812
175567,1985,812
177299,1985,818
177300,1985,818
177301,1985,818
189636,1985,812
184298,1985,311
184298,1985,251
178915,1985,818
178915,1985,818
181113,1985,813
180404,1985,813
181754,1985,818
184330,1985,721
184330,1985,818
186350,1985,812
186350,1985,812
186351,1985,812
186351,1985,812
187491,1985,732
187491,1985,732
188096,1985,818
188096,1985,818
186412,1985,812
189681,1985,818
189681,1985,818
165862,1985,814
174241,1985,818
174241,1985,251
192009,1985,251
188167,1985,818
180531,1985,813
188988,1985,721
153901,1985,311
173642,1985,812
189733,1985,818
165894,1985,818
174286,1985,814
174286,1985,814
174287,1985,818
150171,1985,813
185010,1985,812
178327,1985,812
178327,1985,812
172916,1985,818
172916,1985,818
179078,1985,818
176547,1985,814
179860,1985,311
179138,1985,812
185706,1985,818
190168,1985,818
187794,1985,818
179155,1985,311
190286,1985,812
195795,1985,711
195802,1985,816
190610,1986,816
193820,1986,311
194495,1981,812
194495,1981,812
191503,1981,721
191504,1981,812
191504,1981,812
191505,1981,818
193830,1981,818
192280,1981,812
198196,1986,818
198243,1986,812
198445,1986,818
198445,1986,818
191516,1986,818
191516,1986,818
196690,1986,818
196690,1986,818
196142,1986,812
196142,1986,812
189976,1986,742
194734,1986,813
190855,1986,215
194820,1986,812
197679,1986,541
197679,1986,251
199499,1986,816
199499,1986,812
194165,1986,813
191691,1986,818
191697,1986,813
197832,1986,812
204907,1986,813
204907,1986,818
291503,1986,812
213910,1986,818
213910,1986,215
272636,1987,251
272636,1987,251
215482,1986,812
215482,1986,732
233195,1986,817
234222,1987,812
234222,1987,812
233613,1987,812
233613,1987,812
268272,1987,215
210283,1984,212
214957,1984,818
219566,1985,818
200823,1985,818
200823,1985,818
212034,1985,818
201500,1985,814
208691,1985,812
222740,1985,812
231189,1985,712
200050,1986,212
200081,1986,814
200081,1986,814
201745,1986,311
204965,1986,711
210379,1986,818
210379,1986,818
206266,1986,251
209833,1986,712
212291,1986,812
217076,1986,816
241577,1986,812
241577,1986,812
214481,1986,818
257115,1986,816
218858,1986,311
213622,1986,818
213622,1986,818
214610,1986,818
214610,1986,818
216221,1986,812
216221,1986,813
216229,1986,812
221287,1986,818
218997,1986,812
218997,1986,812
219734,1986,818
219734,1986,818
218193,1986,721
218193,1986,812
217405,1986,732
217405,1986,732
219763,1986,215
226738,1979,211
226738,1979,815
221523,1986,818
221523,1986,215
222289,1986,314
221575,1986,512
224827,1986,754
224231,1986,311
230636,1986,818
229373,1986,818
229373,1986,818
212692,1986,818
212692,1986,818
206434,1986,818
222462,1986,314
222462,1986,314
222462,1986,314
201179,1986,813
201179,1986,812
201239,1986,816
201239,1986,816
200496,1986,818
200531,1986,812
200531,1986,818
200532,1986,215
200532,1986,812
201312,1986,215
201312,1986,311
202829,1986,813
202915,1986,818
202915,1986,818
205289,1986,732
205289,1986,814
206571,1986,816
204554,1986,813
206585,1986,818
206585,1986,812
204562,1986,812
204562,1986,251
204567,1986,215
204567,1986,311
248953,1986,818
206750,1986,818
211529,1986,721
211529,1986,721
211634,1986,818
211634,1986,818
216562,1986,311
216562,1986,732
225001,1986,818
221679,1986,813
221679,1986,812
221767,1986,818
267338,1986,812
267338,1986,812
225123,1986,732
225123,1986,732
225150,1986,817
226461,1986,732
226461,1986,813
226462,1986,311
226462,1986,812
228870,1986,732
228870,1986,732
231660,1986,818
231660,1986,813
228295,1986,818
228295,1986,813
229530,1986,816
203012,1986,818
213005,1986,812
213023,1986,816
216703,1986,818
225250,1986,818
236640,1986,812
236640,1986,812
229563,1986,812
230821,1986,812
204646,1986,812
223729,1986,818
223729,1986,818
223731,1986,818
223731,1986,818
201453,1986,812
237689,1986,812
207018,1986,812
207911,1986,812
207911,1986,812
215762,1986,821
215762,1986,821
210161,1986,818
235149,1985,818
214149,1985,818
237524,1985,812
204814,1985,818
209584,1986,711
215837,1986,818
216873,1986,816
216874,1986,816
216875,1986,816
215114,1986,814
224514,1986,818
223807,1986,812
228422,1986,813
233213,1986,814
262144,1986,813
236393,1986,816
259345,1986,812
243404,1986,813
252924,1986,816
236496,1986,818
246275,1986,831
247098,1986,711
247139,1986,814
245481,1986,816
230227,1987,818
247285,1987,815
239794,1987,812
235785,1987,812
235785,1987,812
240803,1987,812
239980,1987,215
240997,1987,818
243912,1987,721
243937,1987,814
243937,1987,818
245777,1987,818
245777,1987,818
247493,1987,818
252279,1987,721
265594,1987,818
265594,1987,818
264543,1984,813
251162,1987,817
251162,1987,818
296271,1987,818
260404,1987,816
260404,1987,816
255900,1987,818
258752,1987,813
258752,1987,813
260664,1987,812
263403,1987,813
263403,1987,813
262645,1987,818
264739,1987,311
264739,1987,812
264762,1987,812
272408,1987,812
272408,1987,812
268855,1987,818
266715,1987,818
292609,1984,751
292609,1984,751
266802,1987,814
270910,1987,712
270910,1987,712
277340,1987,816
240093,1985,811
258926,1987,818
270136,1987,818
271118,1987,816
274777,1987,711
274777,1987,814
229037,1987,818
231072,1987,812
231072,1987,812
236036,1987,818
241226,1987,812
244963,1987,818
246027,1987,818
248637,1987,751
249463,1987,813
251598,1987,818
252757,1987,813
252757,1987,215
254589,1987,732
254589,1987,732
260821,1987,813
260821,1987,813
260955,1987,812
260955,1987,732
261885,1987,333
261885,1987,813
266050,1987,721
266050,1987,721
265251,1987,311
265251,1987,311
266142,1987,713
267810,1987,818
267810,1987,818
274890,1987,818
274890,1987,818
272937,1987,812
272937,1987,818
229040,1987,812
229040,1987,812
244299,1987,311
266234,1987,813
271380,1987,812
275758,1987,818
260209,1987,818
244341,1987,334
244341,1987,818
295353,1987,818
243329,1987,834
274368,1987,814
274368,1987,814
274372,1987,818
274372,1987,818
237520,1987,812
250487,1986,818
295247,1987,814
292497,1987,813
269654,1987,818
271508,1987,215
272319,1987,818
274528,1987,818
285645,1987,311
297113,1987,311
288543,1987,311
289579,1987,812
276697,1988,817
278273,1988,711
276002,1988,251
276002,1988,251
283699,1988,215
283699,1988,818
279435,1988,812
283730,1988,814
295365,1988,818
282826,1988,818
282092,1988,812
282092,1988,721
286917,1988,311
286918,1988,215
289822,1988,343
292705,1988,812
291002,1988,816
296428,1988,813
296428,1988,818
297431,1988,818
299414,1988,251
299414,1988,251
299480,1988,812
299480,1988,721
278556,1988,813
279492,1988,818
279492,1988,251
280368,1988,813
280368,1988,813
283069,1988,818
283069,1988,311
282114,1988,812
282114,1988,812
276904,1988,818
275166,1988,215
275166,1988,215
276961,1988,251
279651,1988,818
279651,1988,818
286281,1988,812
284435,1988,251
284435,1988,251
287305,1988,352
287305,1988,352
290221,1988,812
297799,1988,813
297879,1988,818
297879,1988,814
290345,1988,732
290345,1988,812
289438,1988,818
294319,1988,818
283439,1988,818
298047,1988,711
294347,1988,818
291490,1988,818
292545,1987,818
299009,1987,816
379004,1990,812
380349,1990,818
380349,1990,818
374367,1989,818
386468,1990,818
386469,1990,814
301903,1988,732
338051,1988,721
301436,1988,812
305928,1988,813
305928,1988,813
360699,1989,818
302141,1987,812
302141,1987,815
307517,1987,818
305608,1984,813
305608,1984,813
322489,1987,812
322489,1987,811
309631,1987,212
309631,1987,413
333706,1987,251
316355,1987,817
325606,1987,812
330701,1985,812
305715,1988,753
305715,1988,753
301470,1988,818
301471,1988,732
303170,1988,818
303170,1988,818
354265,1988,413
354265,1988,413
304048,1988,311
304048,1988,215
308948,1988,732
310883,1988,812
309000,1982,818
309000,1982,818
334997,1988,818
320718,1988,814
320718,1988,834
332766,1988,818
306107,1988,816
306107,1988,816
317024,1988,812
317036,1988,751
323683,1988,813
323683,1988,732
301686,1988,813
304145,1988,818
304145,1988,812
326736,1988,812
300798,1988,813
300799,1988,818
300799,1988,818
320089,1988,742
303504,1988,812
304335,1988,813
304335,1988,813
307109,1988,812
306297,1988,818
306297,1988,818
309168,1988,818
309168,1988,818
317343,1988,818
317343,1988,818
317350,1988,818
317350,1988,818
318315,1988,813
318315,1988,813
321136,1988,812
321136,1988,812
300925,1988,817
308335,1988,818
308335,1988,818
313441,1988,816
315556,1988,818
319464,1988,818
316294,1988,816
336935,1987,818
303655,1988,818
305434,1988,812
306508,1988,432
352275,1988,812
354243,1988,812
354243,1988,812
311690,1988,812
311690,1988,812
307484,1988,814
312604,1988,813
312604,1988,813
362242,1988,711
381670,1988,818
370023,1988,816
317618,1988,818
393034,1988,251
365600,1988,622
330686,1988,816
377629,1988,818
374179,1988,818
381688,1988,818
373221,1988,732
347443,1988,311
389525,1988,818
324351,1989,812
324351,1989,732
